;description;energy;kms;location;make;model;price;title;transmission;year
3340;;gasolina;90000;Jesus Maria - Lima - Lima;honda;civic;8490;honda civic 2008;automática (secuencial);2008
3341;;gasolina;169000;San Isidro - Lima - Lima;honda;cr-v;8450;honda cr-v 2006;automática;2006
3342;;gasolina;92000;San Borja - Lima - Lima;honda;crv;10500;honda crv 2010;automática;2010
3343;;gasolina;86800;Picota - Picota - San Martin;honda;crv;6300;honda crv 2007;automática;2007
3344;;gasolina;180000;San Isidro - Lima - Lima;honda;accord;4700;honda accord 1997;automática;1997
3345;;gasolina;104000;Santiago de Surco - Lima - Lima;honda;civic coupe;8500;honda civic coupe 2008;automática;2008
3346;;gasolina;109000;Lima - Lima - Lima;honda;accord;2500;honda accord 1999;mecánica;1999
3347;;dual;;San Juan de Miraflores - Lima - Lima;honda;civic;;honda civic 1992;automática;1992
3348;;gasolina;200000;Callao - Callao - Callao;honda;accord;3500;honda accord 1995;automática;1995
3349;;gasolina;142000;La Molina - Lima - Lima;honda;civic;5400;honda civic 1992;automática;1992
3350;;gasolina;69757;San Borja - Lima - Lima;honda;civic;10000;honda civic 2011;mecánica;2011
3351;;gasolina;14000;Lima - Lima - Lima;honda;wr-v;14550;honda wr-v 2018;mecánica;2018
3352;;gasolina;145000;San Borja - Lima - Lima;honda;cr-v;9500;honda cr-v 2008;automática;2008
3353;;gas glp;160000;Santiago de Surco - Lima - Lima;honda;pilot;15600;honda pilot 2009;automática;2009
3354;;gasolina;101000;Santiago de Surco - Lima - Lima;honda;crv;11600;honda crv 2011;automática;2011
3355;;dual;180000;Miraflores - Lima - Lima;honda;civic;3100;honda civic 1995;automática;1995
3356;;gasolina;47200;Los Olivos - Lima - Lima;honda;pilot;18900;honda pilot 2014;automática;2014
3357;;gasolina;35000;Huancayo - Huancayo - Junin;honda;crv;14000;honda crv 2016;automática (secuencial);2016
3358;;gasolina;35000;Lima - Lima - Lima;honda;crv;14000;honda crv 2016;automática (secuencial);2016
3359;;gasolina;48000;Santiago de Surco - Lima - Lima;honda;civic;10300;honda civic 2010;automática;2010
