Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1457,22,3,Those Kinda Nights (feat. Ed Sheeran),5823422,Eminem,46814751, rap,66.0,0.794,0.637,-6.29,0.339,0.028,0.0919,103.868,177693.0,0.393,E
1467,193,1,ME! (feat. Brendon Urie of Panic! At The Disco),4884909,Taylor Swift,42227614, post-teen pop,77.0,0.61,0.83,-4.105,0.0571,0.033,0.118,182.162,193000.0,0.728,C
1472,26,2,Darkness,7618955,Eminem,46814751, rap,65.0,0.671,0.623,-7.161,0.308,0.00998,0.643,75.055,337147.0,0.195,D
1473,30,2,"You Gonâ Learn (feat. Royce Da 5'9"" & White Gold)",7157402,Eminem,46814751, rap,66.0,0.68,0.82,-4.197,0.151,0.0614,0.597,140.033,234653.0,0.243,E
1476,32,2,Unaccommodating (feat. Young M.A),6374807,Eminem,46814751, rap,65.0,0.852,0.752,-5.793,0.0597,0.0169,0.394,89.95,216600.0,0.389,C#/Db
1478,44,2,Leaving Heaven (feat. Skylar Grey),5466161,Eminem,46814751, rap,64.0,0.661,0.748,-4.809,0.206,0.175,0.254,171.983,265947.0,0.509,D
1486,52,2,In Too Deep,4824037,Eminem,46814751, rap,62.0,0.72,0.767,-5.839,0.214,0.0387,0.202,88.966,194707.0,0.595,A#/Bb
1487,57,1,Premonition - Intro,10830400,Eminem,46814751, rap,62.0,0.847,0.637,-5.193,0.367,0.0258,0.382,165.979,173893.0,0.511,C#/Db
1490,70,1,No Regrets (feat. Don Toliver),9493884,Eminem,46814751, rap,63.0,0.756,0.747,-5.407,0.046,0.0048,0.588,134.935,200947.0,0.0687,A
1492,72,1,Lock It Up (feat. Anderson .Paak),9328951,Eminem,46814751, rap,64.0,0.848,0.745,-3.052,0.221,0.0949,0.0796,137.024,170227.0,0.516,F#/Gb
1493,73,1,Marsh,9260007,Eminem,46814751, rap,62.0,0.871,0.493,-6.356,0.205,0.0134,0.385,144.989,200573.0,0.0495,C#/Db
1494,74,1,Stepdad,9159901,Eminem,46814751, rap,61.0,0.779,0.805,-3.121,0.178,0.018,0.321,145.68,213413.0,0.557,C#/Db
1495,83,1,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",8695060,Eminem,46814751, rap,60.0,0.458,0.966,-2.107,0.384,0.14,0.11,183.586,286960.0,0.356,C#/Db
